timestamp,date,time,open,high,low,close,volume
2022-08-23 09:00:00,23/08/2022,09:00:00,7.398,7.71,7.177,7.634,31722825.5
2022-08-24 09:00:00,24/08/2022,09:00:00,7.634,7.769,7.407,7.559,24606061.2
2022-08-25 09:00:00,25/08/2022,09:00:00,7.558,7.756,7.445,7.574,20765056.4
2022-08-26 09:00:00,26/08/2022,09:00:00,7.575,7.677,6.853,6.917,37752028.9
2022-08-27 09:00:00,27/08/2022,09:00:00,6.917,7.097,6.785,7.037,23950032.6
2022-08-28 09:00:00,28/08/2022,09:00:00,7.036,7.147,6.803,6.854,22307625.2
2022-08-29 09:00:00,29/08/2022,09:00:00,6.854,7.306,6.769,7.266,28593098.7
2022-08-30 09:00:00,30/08/2022,09:00:00,7.266,7.376,6.872,7.003,25902084.1
2022-08-31 09:00:00,31/08/2022,09:00:00,7.003,7.286,6.974,7.024,24609125.0
2022-09-01 09:00:00,01/09/2022,09:00:00,7.025,7.199,6.851,7.177,22952718.3
2022-09-02 09:00:00,02/09/2022,09:00:00,7.178,7.564,7.115,7.293,29535478.7
2022-09-03 09:00:00,03/09/2022,09:00:00,7.294,7.304,7.161,7.282,15320618.3
2022-09-04 09:00:00,04/09/2022,09:00:00,7.282,7.421,7.136,7.369,20963795.5
2022-09-05 09:00:00,05/09/2022,09:00:00,7.369,7.635,7.249,7.365,37007105.8
2022-09-06 09:00:00,06/09/2022,09:00:00,7.364,7.689,6.8,6.872,46131916.2
2022-09-07 09:00:00,07/09/2022,09:00:00,6.872,7.294,6.736,7.195,30614772.8
2022-09-08 09:00:00,08/09/2022,09:00:00,7.195,7.445,7.023,7.383,32005312.3
2022-09-09 09:00:00,09/09/2022,09:00:00,7.383,7.944,7.352,7.751,32187833.0
2022-09-10 09:00:00,10/09/2022,09:00:00,7.751,7.873,7.576,7.766,22892975.5
2022-09-11 09:00:00,11/09/2022,09:00:00,7.767,7.9,7.533,7.694,18798782.2
2022-09-12 09:00:00,12/09/2022,09:00:00,7.695,8.046,7.558,7.654,33770668.9
2022-09-13 09:00:00,13/09/2022,09:00:00,7.655,7.959,7.025,7.062,35863203.6
2022-09-14 09:00:00,14/09/2022,09:00:00,7.062,7.303,7.009,7.203,24433276.9
2022-09-15 09:00:00,15/09/2022,09:00:00,7.201,7.236,6.864,6.924,30645989.6
2022-09-16 09:00:00,16/09/2022,09:00:00,6.925,6.968,6.681,6.897,25536695.8
2022-09-17 09:00:00,17/09/2022,09:00:00,6.896,7.158,6.896,7.053,16381526.8
2022-09-18 09:00:00,18/09/2022,09:00:00,7.054,7.06,6.272,6.442,29661727.3
2022-09-19 09:00:00,19/09/2022,09:00:00,6.441,6.551,6.098,6.381,35150291.8
2022-09-20 09:00:00,20/09/2022,09:00:00,6.38,6.412,6.161,6.282,31718909.6
2022-09-21 09:00:00,21/09/2022,09:00:00,6.281,6.579,5.96,6.12,47102527.7
2022-09-22 09:00:00,22/09/2022,09:00:00,6.119,6.519,6.075,6.441,31184846.6
2022-09-23 09:00:00,23/09/2022,09:00:00,6.442,6.65,6.184,6.429,38822017.2
2022-09-24 09:00:00,24/09/2022,09:00:00,6.427,6.506,6.228,6.266,20825560.9
2022-09-25 09:00:00,25/09/2022,09:00:00,6.266,6.368,6.079,6.196,21562763.7
